protocol_id,buffer_id
MUS-SPL-DIS,BUF-FACS-MACS
MUS-SPL-DIS,BUF-RBC-HYB
MUS-LIV-DIG,BUF-FACS-MACS
MUS-LIV-DIG,BUF-PERC-37
MUS-LIV-DIG,BUF-LIV-DIG-COL-D
MUS-LNG-DIG,BUF-FACS-MACS
MUS-LNG-DIG,BUF-RBC-HYB
MUS-BM-ISO,BUF-FACS-MACS
MUS-BM-ISO,BUF-RBC-HYB
MUS-BLD-PRC,BUF-FACS-MACS
MUS-BLD-PRC,BUF-RBC-HYB
MUS-TMR-DIG,BUF-FACS-MACS
MUS-TMR-DIG,BUF-RBC-HYB
MUS-IEL-ISO,BUF-PERC-37
HUM-BLD-PBMC-ISO,BUF-R0-MED
HUM-BLD-PBMC-ISO,BUF-R10-MED
HUM-BLD-PBMC-ISO,BUF-FREEZE-MIX
HUM-NK92-CULTURE,BUF-FREEZE-MIX
HUM-KHYG1-CULTURE,BUF-R10-MED
HUM-KHYG1-CULTURE,BUF-FREEZE-MIX
HUM-K562-CULTURE,BUF-FREEZE-MIX
GEN-CTV-STAIN,BUF-R10-MED
MUS-SPL-NK-PROLIF,BUF-FACS-MACS
MUS-SPL-NK-PROLIF,BUF-NK-MED
GEN-LYMPH-NUC,BUF-NK-MED
MUS-LCMV-PLA,BUF-VERO-PROP
MUS-LCMV-PLA,BUF-LCMV-PLA
MUS-LCMV-FFA,BUF-VERO-PROP
MUS-LCMV-PROD,BUF-BHK-PROP
MUS-LCMV-PROD,BUF-L929-PROP
MUS-SPL-DIS,BUF-ACK-LYSIS
MUS-LNG-DIG,BUF-ACK-LYSIS
MUS-BM-ISO,BUF-ACK-LYSIS
MUS-BLD-PRC,BUF-ACK-LYSIS
MUS-TMR-DIG,BUF-ACK-LYSIS
MUS-LIV-DIG,BUF-LIV-DIG-COL-IV
NLC-PLATE-STIM,BUF-TCELL-MED
